Starting Training: 488 updates expected.
Update 216/488 | True Score: 590.07 | Optim Score: 553.43 | Std: 0.5773
Update 217/488 | True Score: 741.62 | Optim Score: 697.54 | Std: 0.5821
Update 218/488 | True Score: 917.91 | Optim Score: 873.70 | Std: 0.5828
Update 219/488 | True Score: 865.69 | Optim Score: 819.51 | Std: 0.5844
Update 220/488 | True Score: 766.75 | Optim Score: 731.39 | Std: 0.5844
Update 221/488 | True Score: 888.41 | Optim Score: 843.33 | Std: 0.5819
Update 222/488 | True Score: 939.84 | Optim Score: 893.42 | Std: 0.5775
Update 223/488 | True Score: 662.22 | Optim Score: 626.02 | Std: 0.5701
Update 224/488 | True Score: 768.84 | Optim Score: 723.06 | Std: 0.5685
Update 225/488 | True Score: 894.81 | Optim Score: 852.60 | Std: 0.5628
Update 226/488 | True Score: 976.10 | Optim Score: 931.95 | Std: 0.5601
Update 227/488 | True Score: 665.28 | Optim Score: 629.94 | Std: 0.5585
Update 228/488 | True Score: 927.60 | Optim Score: 885.18 | Std: 0.5613
Update 229/488 | True Score: 894.55 | Optim Score: 851.46 | Std: 0.5611
Update 230/488 | True Score: 776.90 | Optim Score: 741.68 | Std: 0.5632
Update 231/488 | True Score: 980.86 | Optim Score: 938.68 | Std: 0.5582
Update 232/488 | True Score: 728.67 | Optim Score: 688.92 | Std: 0.5552
Update 233/488 | True Score: 740.95 | Optim Score: 707.17 | Std: 0.5584
Update 234/488 | True Score: 812.91 | Optim Score: 769.23 | Std: 0.5511
Update 235/488 | True Score: 686.55 | Optim Score: 651.92 | Std: 0.5431
Update 236/488 | True Score: 930.97 | Optim Score: 889.19 | Std: 0.5423
Update 237/488 | True Score: 728.16 | Optim Score: 684.40 | Std: 0.5481
Update 238/488 | True Score: 898.89 | Optim Score: 856.09 | Std: 0.5485
Update 239/488 | True Score: 803.88 | Optim Score: 760.10 | Std: 0.5484
Update 240/488 | True Score: 767.11 | Optim Score: 733.04 | Std: 0.5453
Update 241/488 | True Score: 901.97 | Optim Score: 858.84 | Std: 0.5423
Update 242/488 | True Score: 807.43 | Optim Score: 763.90 | Std: 0.5406
Update 243/488 | True Score: 712.39 | Optim Score: 676.80 | Std: 0.5504
Update 244/488 | True Score: 731.42 | Optim Score: 687.04 | Std: 0.5517
Update 245/488 | True Score: 687.47 | Optim Score: 642.12 | Std: 0.5505
Update 246/488 | True Score: 629.15 | Optim Score: 585.37 | Std: 0.5577
Update 247/488 | True Score: 956.82 | Optim Score: 910.10 | Std: 0.5630
Update 248/488 | True Score: 748.03 | Optim Score: 701.16 | Std: 0.5569
Update 249/488 | True Score: 665.05 | Optim Score: 630.31 | Std: 0.5602
Update 250/488 | True Score: 927.81 | Optim Score: 885.23 | Std: 0.5617
Update 251/488 | True Score: 873.41 | Optim Score: 829.38 | Std: 0.5593
Update 252/488 | True Score: 749.64 | Optim Score: 706.52 | Std: 0.5580
Update 253/488 | True Score: 553.43 | Optim Score: 518.50 | Std: 0.5536
Update 254/488 | True Score: 715.20 | Optim Score: 671.41 | Std: 0.5471
Update 255/488 | True Score: 728.23 | Optim Score: 684.32 | Std: 0.5496
Update 256/488 | True Score: 719.96 | Optim Score: 675.38 | Std: 0.5483
Update 257/488 | True Score: 845.51 | Optim Score: 801.47 | Std: 0.5491
Update 258/488 | True Score: 769.19 | Optim Score: 733.37 | Std: 0.5441
Update 259/488 | True Score: 795.59 | Optim Score: 749.17 | Std: 0.5454
Update 260/488 | True Score: 849.64 | Optim Score: 805.57 | Std: 0.5477
Update 261/488 | True Score: 761.36 | Optim Score: 718.03 | Std: 0.5463
Update 262/488 | True Score: 687.68 | Optim Score: 644.32 | Std: 0.5415
Update 263/488 | True Score: 883.91 | Optim Score: 840.94 | Std: 0.5411
Update 264/488 | True Score: 604.37 | Optim Score: 563.36 | Std: 0.5415
Update 265/488 | True Score: 474.29 | Optim Score: 434.00 | Std: 0.5419
Update 266/488 | True Score: 855.92 | Optim Score: 808.75 | Std: 0.5388
Update 267/488 | True Score: 634.53 | Optim Score: 587.39 | Std: 0.5349
Update 268/488 | True Score: 567.09 | Optim Score: 528.62 | Std: 0.5346
Update 269/488 | True Score: 742.66 | Optim Score: 696.53 | Std: 0.5365
Update 270/488 | True Score: 620.81 | Optim Score: 576.66 | Std: 0.5339
Update 271/488 | True Score: 653.20 | Optim Score: 608.93 | Std: 0.5353
Update 272/488 | True Score: 633.80 | Optim Score: 588.30 | Std: 0.5341
Update 273/488 | True Score: 710.55 | Optim Score: 665.26 | Std: 0.5334
Update 274/488 | True Score: 835.16 | Optim Score: 786.01 | Std: 0.5345
Update 275/488 | True Score: 451.10 | Optim Score: 414.67 | Std: 0.5314
Update 276/488 | True Score: 583.12 | Optim Score: 538.63 | Std: 0.5306
Update 277/488 | True Score: 815.53 | Optim Score: 771.35 | Std: 0.5300
Update 278/488 | True Score: 822.64 | Optim Score: 775.70 | Std: 0.5288
Update 279/488 | True Score: 749.68 | Optim Score: 704.01 | Std: 0.5312
Update 280/488 | True Score: 791.40 | Optim Score: 744.97 | Std: 0.5337
Update 281/488 | True Score: 503.61 | Optim Score: 457.05 | Std: 0.5302
Update 282/488 | True Score: 574.62 | Optim Score: 539.05 | Std: 0.5283
Update 283/488 | True Score: 674.42 | Optim Score: 628.00 | Std: 0.5304
Update 284/488 | True Score: 550.51 | Optim Score: 505.86 | Std: 0.5329
Update 285/488 | True Score: 605.57 | Optim Score: 559.83 | Std: 0.5369
Update 286/488 | True Score: 685.78 | Optim Score: 637.03 | Std: 0.5375
Update 287/488 | True Score: 623.57 | Optim Score: 586.16 | Std: 0.5360
Update 288/488 | True Score: 691.24 | Optim Score: 645.68 | Std: 0.5322
Update 289/488 | True Score: 574.28 | Optim Score: 524.63 | Std: 0.5321
Update 290/488 | True Score: 713.24 | Optim Score: 666.79 | Std: 0.5300
Update 291/488 | True Score: 807.54 | Optim Score: 760.36 | Std: 0.5278
Update 292/488 | True Score: 545.93 | Optim Score: 500.50 | Std: 0.5294
Update 293/488 | True Score: 702.27 | Optim Score: 656.50 | Std: 0.5273
Update 294/488 | True Score: 687.56 | Optim Score: 641.07 | Std: 0.5199
Update 295/488 | True Score: 554.30 | Optim Score: 515.61 | Std: 0.5220
Update 296/488 | True Score: 647.29 | Optim Score: 602.06 | Std: 0.5235
Update 297/488 | True Score: 494.92 | Optim Score: 449.46 | Std: 0.5231
Update 298/488 | True Score: 479.48 | Optim Score: 435.34 | Std: 0.5225
Update 299/488 | True Score: 604.86 | Optim Score: 559.44 | Std: 0.5214
Update 300/488 | True Score: 598.35 | Optim Score: 550.88 | Std: 0.5181
Update 301/488 | True Score: 612.13 | Optim Score: 568.76 | Std: 0.5236
Update 302/488 | True Score: 782.42 | Optim Score: 744.48 | Std: 0.5220
